InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
10102,P0045,Producto 14,4,2021-01-28,69.77,1082,El Salvador
10435,P0005,Producto 13,3,2021-03-11,22.65,1009,Honduras
10860,P0033,Producto 29,7,2021-06-21,59.94,1091,Guatemala
10270,P0001,Producto 12,3,2021-05-29,27.2,1028,Honduras
10106,P0018,Producto 39,3,2021-01-28,66.53,1078,Honduras
10071,P0032,Producto 2,5,2021-02-23,81.68,1034,El Salvador
10700,P0047,Producto 32,5,2021-03-06,78.02,1005,Honduras
10020,P0049,Producto 13,6,2021-04-10,76.32,1011,Guatemala
10614,P0011,Producto 46,8,2021-01-21,19.58,1037,Honduras
10121,P0021,Producto 27,6,2021-01-13,9.75,1076,Guatemala
10466,P0026,Producto 49,1,2021-02-26,70.2,1092,Honduras
10214,P0025,Producto 41,8,2021-02-18,37.47,1018,Guatemala
10330,P0022,Producto 17,8,2021-04-28,43.8,1066,Honduras
10458,P0027,Producto 40,9,2021-02-23,4.08,1007,Honduras
10087,P0049,Producto 31,9,2021-05-18,26.7,1007,Costa Rica
10372,P0013,Producto 34,2,2021-02-22,4.33,1083,Guatemala
10099,P0033,Producto 24,2,2021-02-13,88.04,1046,Guatemala
10871,P0034,Producto 45,3,2021-02-16,25.1,1003,Guatemala
10663,P0041,Producto 35,1,2021-02-22,56.18,1050,Nicaragua
10130,P0035,Producto 48,4,2021-03-15,4.86,1084,Honduras
10661,P0001,Producto 6,4,2021-02-15,67.02,1066,Guatemala
10308,P0021,Producto 19,9,2021-01-13,32.98,1044,Nicaragua
10769,P0048,Producto 30,9,2021-06-14,89.89,1007,Costa Rica
10343,P0006,Producto 7,9,2021-04-12,88.92,1086,Guatemala
10491,P0028,Producto 10,7,2021-01-24,33.2,1015,Guatemala
10413,P0017,Producto 41,2,2021-01-02,90.2,1076,Nicaragua
10805,P0005,Producto 32,5,2021-03-22,99.62,1066,Honduras
10385,P0031,Producto 34,4,2021-04-10,82.72,1008,Costa Rica
10191,P0005,Producto 28,8,2021-05-22,84.64,1059,Guatemala
10955,P0038,Producto 15,2,2021-05-18,25.65,1077,Honduras
10276,P0003,Producto 30,6,2021-06-12,58.09,1076,Costa Rica
10160,P0023,Producto 37,5,2021-06-02,7.66,1070,El Salvador
10459,P0037,Producto 29,2,2021-05-11,10.4,1014,El Salvador
10313,P0037,Producto 22,1,2021-04-21,99.89,1070,Costa Rica
10021,P0010,Producto 4,8,2021-04-12,33.34,1097,Nicaragua
10252,P0010,Producto 20,2,2021-01-17,75.07,1040,Costa Rica
10747,P0019,Producto 32,7,2021-01-12,80.86,1021,Costa Rica
10856,P0017,Producto 36,9,2021-04-26,85.94,1023,Nicaragua
10560,P0021,Producto 4,9,2021-01-24,99.77,1043,Nicaragua
10474,P0014,Producto 27,8,2021-01-29,24.91,1000,Honduras
10058,P0009,Producto 17,9,2021-06-20,4.99,1009,Honduras
10510,P0046,Producto 12,2,2021-06-02,41.71,1079,Nicaragua
10681,P0001,Producto 22,6,2021-05-02,13.88,1071,El Salvador
10475,P0045,Producto 17,4,2021-03-31,3.22,1055,El Salvador
10699,P0013,Producto 10,4,2021-03-06,36.68,1088,Costa Rica
10975,P0004,Producto 1,5,2021-03-25,78.59,1049,Guatemala
